id,Title,Artist,Genre,Danceability,Energy,Key,dB,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (seconds),Popularity
1cS0TgbR263ey9jn0MwD2,River (feat. Ed Sheeran),Eminem,Hip-Hop/Rap,75,75,8,-5.916,0,52,14,0.00000000,7,66,90,221,80
6KuqAtoeVzxAYOaMveLNp,Dura,Daddy Yankee,Reggaeton,78,84,1,-3.456,1,5,17,0.00000000,41,84,95,200,77
2xLMifQCjDGFmkHkpNLD9,SICKO MODE,Travis Scott,Hip-Hop/Rap,83,73,8,-3.714,1,22,1,0.00000000,12,45,155,313,89
1zB4vmk8tFRmM9UULNzbL,Thunder,Imagine Dragons,Pop,61,82,0,-4.833,1,4,1,0.13400000,15,29,168,187,87
6jA8JUuPCGYjFcgw0AoM5,Me Niego (feat. Ozuna & Wisin),Reik,Reggaeton,78,78,0,-4.449,0,9,5,0.00000000,64,77,94,222,79
4kWO6O1BUXcZmaxitpVUw,Jackie Chan,Tiësto,Dance/Electronic,75,83,3,-2.867,0,5,37,0.00000000,6,69,128,216,81
3Vo4wInECJQuz9BIBMOu8,Finesse - Remix; feat. Cardi B,Bruno Mars,R&B,70,86,5,-4.877,0,10,2,0.00000000,2,93,105,217,78
4hQ6UGyWQIGJmHSo0J88J,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,Pop,60,72,6,-4.856,1,5,9,0.00000168,12,51,102,208,82
52okn5MNA47tk87PeZJLE,Let You Down,NF,Hip-Hop/Rap,66,71,5,-5.665,0,12,31,0.00000000,18,46,148,212,84
1gm616Plq4ScqNi7TVkZ5,Call Out My Name,The Weeknd,R&B,46,59,1,-4.929,1,4,17,0.00000000,31,18,134,228,85
7sO5G9EABYOXQKNPNiE9N,Ric Flair Drip (& Metro Boomin),Offset,Hip-Hop/Rap,88,43,9,-8.28,1,21,15,0.00005070,11,33,100,173,83
2dpaYNEQHiRxtZbfNsse9,Happier,Marshmello,Dance/Electronic,69,79,5,-2.749,1,5,19,0.00000000,17,67,100,214,90
1mXVgsBdtIVeCLJnSnmtd,Too Good At Goodbyes,Sam Smith,R&B,68,37,5,-8.279,1,4,64,0.00000000,17,48,92,201,84
10Igtw8bSDyyFs7KIsKng,Freaky Friday (feat. Chris Brown),Lil Dicky,Hip-Hop/Rap,76,60,8,-5.042,1,22,15,0.00000000,11,76,133,217,79
0pqnGHJpmpxLKifKRmU6W,Believer,Imagine Dragons,Pop,78,78,10,-4.374,0,13,6,0.00000000,8,67,125,204,89
2E124GmJRnBJuXbTb4cPU,FEFE,6ix9ine,Hip-Hop/Rap,93,39,1,-9.127,1,41,9,0.00000000,14,38,126,179,80
3KLygy1YWhmrQx0GRs7IO,Rise,Jonas Blue,Dance/Electronic,69,79,1,-4.65,1,3,33,0.00000000,20,66,106,194,75
7K7MUBCnzgBAvMVW2RTWN,Body,Loud Luxury,Dance/Electronic,75,76,1,-4.399,1,4,5,0.00009440,5,58,122,163,68
7GX5flRQZVHRAGd6B4TmD,XO Tour Llif3,Lil Uzi Vert,Hip-Hop/Rap,73,75,11,-6.366,0,23,0,0.00000000,11,40,155,183,85
2ijef6ni2amuunRoKTlgw,Sin Pijama,Becky G,Reggaeton,79,75,11,-3.695,0,5,35,0.00002930,10,82,94,189,81
2BgEsaKNfHUdlh97KmvFy,2002,Anne-Marie,Pop,70,68,1,-2.881,0,12,4,0.00000000,14,60,96,187,85
0TlLq3lA83rQOYtrqBqSc,Nonstop,Drake,Hip-Hop/Rap,91,41,7,-8.074,1,12,2,0.01300000,10,42,155,239,84
7AQim7LbvFVZJE3O8TYgf,Fuck Love (feat. Trippie Redd),XXXTENTACION,Hip-Hop/Rap,80,53,0,-9.74,0,4,2,0.00015200,10,33,131,147,85
2QZ7WLBE8h2y1Y5Fb8RYb,In My Blood,Shawn Mendes,Pop,62,71,5,-7.321,1,7,6,0.00000000,13,49,140,211,83
